"gene","cope"
"TRAPPC11",-0.0146689841883418
"DYNAP",-0.0145711092630405
"CD80",-0.0145711071304614
"FMO3",-0.0145217238788611
"LRRC15",-0.014415754948843
"MCEMP1",-0.0143821179915303
"C3orf22",-0.0143222459514752
"ADGRE2",-0.0141027229255438
"PLA2G4F",-0.0141000427862135
"PATE4",-0.0140833403744895
"UBE3B",-0.0140640970625679
"CABP5",-0.0140505384955458
"RFX6",-0.014042358612409
"TBC1D21",-0.0140341868601262
"TM4SF5",-0.0139107117305824
"LMOD2",-0.0138621033486298
"BRAP",-0.0138611311641463
"FRMD7",-0.013788256793203
"BOD1L2",-0.0137805941631946
"ADRA2B",-0.0137506959082915
"TAS2R4",-0.0137465468501231
"OTOL1",-0.0136753070908587
"SLC2A2",-0.0136753043732025
"HIF1A",-0.0136653245139845
"MAGEE2",-0.013641558853674
"EVI2B",-0.0135930591895081
"VSTM1",-0.013539053847676
"MCIDAS",-0.0135390515792138
"OR10Q1",-0.0135048387293944
"RPTN",-0.0135032619968255
"TRUB2",-0.0134933148719586
"CCL4L2",-0.0134927862985081
"UIMC1",-0.0134719824306094
"TCP10L",-0.0134509410266657
"PLA2G2A",-0.0134289300935084
"BTG4",-0.0133245596126677
"SENP7",-0.0132962029031687
"SOST",-0.0132878314509987
"EVI2A",-0.0132570261125639
"MMP7",-0.0131507875452451
"NXPE4",-0.0131354759983464
"ADH1B",-0.0131201948964647
"HAND2",-0.0131070550304847
"FCGR2B",-0.0131070515320186
"CCK",-0.0128659728543072
"ETV3L",-0.0128646995927908
"LIM2",-0.0128488413214676
"CA9",-0.0128019658120942
"ZIM3",-0.0127965705912092
"PRRX2",-0.0126659158126505
"CD48",-0.0126356080144155
"CLTC",-0.0126265185521248
"SNX27",-0.0126195057761258
"CCR3",-0.0125709925541899
"PPP1R14C",-0.0125635200174797
"ZNF624",-0.0125489472564049
"KRT1",-0.0125054491164338
"MSLN",-0.0124644761248182
"YWHAZ",-0.0124257275972874
"ZNF658",-0.0124194989074867
"DEFA4",-0.0123698755715676
"TAS2R39",-0.0123626822351694
"AGXT",-0.0122875336355935
"SLC17A3",-0.0122875267757572
"LYPD4",-0.0122875244891476
"CCL13",-0.0122875237269447
"MS4A13",-0.0122446873887291
"TMEM71",-0.0122188157551801
"ZNF559",-0.0121709375427599
"KLK12",-0.012138162002762
"OR52N2",-0.0121018293449339
"POU5F2",-0.0120563133795758
"IFNK",-0.0119980365039439
"CCL17",-0.011998035725164
"SLC6A19",-0.011998035725164
"TMEM40",-0.0119980341676047
"TNNT2",-0.0119701341780558
"ZNF638",-0.0119390806662073
"SP5",-0.0119227851709165
"SERPINB5",-0.0119015708002591
"OASL",-0.0118011131404843
"SLC5A1",-0.011776136564025
"DYTN",-0.0117183955106402
"TP53BP1",-0.0115838386750242
"KLK11",-0.0115327457915433
"MMP27",-0.0115327413132205
"C2orf78",-0.0114857171533643
"OTC",-0.0113991527456453
"USP47",-0.0113737101578353
"KLRK1",-0.0113444890405376
"PRB3",-0.0112557896141652
"DDX53",-0.0112373458800379
"ZNF560",-0.0111661435953395
"ITGAX",-0.0111601310903149
"BPIFB4",-0.0111535020054838
"GZMH",-0.0111306760449863
"CEACAM6",-0.0111306748886917
"KLK3",-0.0111131437112148
"IL19",-0.0110886776353495
"HMGB4",-0.0110886759617676
"TXNDC8",-0.0110757855830611
"KRT16",-0.0109839494421044
"AADACL4",-0.0109839480794217
"BSX",-0.0109839467167395
"SF3B1",-0.01095218079212
"MXRA7",-0.0109447649921338
"DUSP1",-0.0107978769155214
"OR3A1",-0.0107700013432332
"TARM1",-0.010762747739624
"CCR7",-0.0107627466831513
"HTR3A",-0.0107251702849705
"IFNE",-0.01070875216699
"GLYATL3",-0.0106878103213562
"ARHGAP36",-0.0106584056215018
"CAMP",-0.010571160623096
"SULT1C2",-0.0105457243069622
"ADGRE1",-0.0104891344772549
"CCDC172",-0.0104606132191988
"WBP2",-0.0104454393602855
"BARX1",-0.0104428102530984
"MMP1",-0.0104423748242266
