"gene","cope"
"ARSH",NA
"ARSI",NA
"AWAT2",NA
"BPIFB2",NA
"BPIFB4",NA
"C16orf92",NA
"C1orf116",NA
"C1orf185",NA
"C22orf42",NA
"C3orf22",NA
"C5orf46",NA
"CA6",NA
"CALR3",NA
"CAMP",NA
"CAPN13",NA
"CAPNS2",NA
"CCDC140",NA
"CCR4",NA
"CCT8L2",NA
"CD207",NA
"CD70",NA
"CEACAM16",NA
"CELA2A",NA
"CHRNB3",NA
"CHRND",NA
"CIB3",NA
"CLDN20",NA
"CLDN3",NA
"CLEC2A",NA
"CLEC4F",NA
"CLPSL1",NA
"COX8C",NA
"CPLX4",NA
"CPSF4L",NA
"CRISP2",NA
"CSF3",NA
"CYP11A1",NA
"DAZL",NA
"DGAT2L6",NA
"DIO3",NA
"DLX4",NA
"DNASE2B",NA
"DPPA2",NA
"DRGX",NA
"DUSP13",NA
"EIF1AY",NA
"ESPNL",NA
"ETV3L",NA
"FAM170A",NA
"FAM180B",NA
"FGF8",NA
"FIGLA",NA
"FOXC2",NA
"FOXE3",NA
"FOXH1",NA
"GABRR1",NA
"GAGE1",NA
"GAST",NA
"GIP",NA
"GPR25",NA
"GRIN3B",NA
"HGD",NA
"HOXA11",NA
"HOXC10",NA
"HOXC5",NA
"HOXC6",NA
"HOXC9",NA
"IHH",NA
"IL17F",NA
"IL25",NA
"IQCA1L",NA
"IQCF1",NA
"IRX4",NA
"IRX5",NA
"IRX6",NA
"ITIH1",NA
"KCNG3",NA
"KCNK15",NA
"KDM5D",NA
"KISS1",NA
"KLK13",NA
"KLK5",NA
"KLK8",NA
"KLK9",NA
"KLRG2",NA
"KRT6A",NA
"KRT80",NA
"KRTAP5-8",NA
"KRTAP5-9",NA
"KRTAP8-1",NA
"KRTDAP",NA
"LCN8",NA
"LGALS2",NA
"LINGO4",NA
"LMX1A",NA
"LPO",NA
"LSMEM2",NA
"LYPD2",NA
"MAGEB2",NA
"MPC1L",NA
"MT1A",NA
"MUC5AC",NA
"MUSTN1",NA
"NAT8",NA
"NPS",NA
"NT5C1B",NA
"OCSTAMP",NA
"OPN1SW",NA
"OR10V1",NA
"OR2AT4",NA
"OR2B11",NA
"OR2L2",NA
"OR4D1",NA
"OR4F15",NA
"OR52K2",NA
"OR56A5",NA
"OR5B21",NA
"OR6A2",NA
"OR8D4",NA
"OR8G1",NA
"OR8S1",NA
"P2RX3",NA
"PADI1",NA
"PAX2",NA
"PGC",NA
"PLA2G3",NA
"PLA2G4F",NA
"PLEKHN1",NA
"PLET1",NA
"POM121L2",NA
"PRAMEF1",NA
